Food,Ilvl,DH,Crit,Det,SS
Sykon Salad,560,50,0,0,82
Sykon Bavarois,560,82,0,50,0
Coconut Cod Chowder,545,76,0,46,0
Philosopher's Sandwich,545,46,0,0,76
Coconot Cod Chowder,545,0,46,76,0
Spicy Shakshouka,539,0,0,45,75
Lentil Curry,539,0,75,0,45
Archon Burger,580,90,0,54,0
Bowl of Pumpkin Potage,580,0,54,90,0
Sykon Cookie,580,54,0,0,90
Cup of Thavnairian Chai,580,0,90,0,54
Carrot Pudding,610,0,58,97,0
Garlean Pizza,610,0,97,0,58
Melon Pie,610,97,0,58,0
Piennolo Tomato Salad,610,58,0,0,97
Baked Eggplant,640,0,62,103,0
Caviar Canapes,640,0,103,0,62
Caviar Sandwich,640,62,0,0,103
Honeyed Dragonfruit,640,103,0,62,0
